"","ID","SPAD_June_2022","SPAD_July_2022","SPAD_aug_2022","SPAD_sep_2022","SPAD_July_2023","SPAD_Aug_2023","SPAD_Sep_2023","avg_SPAD","row","column"
"166","LCOR-357",31.73333333,31.6,43.36666667,42.53333333,32.3,19.3,22.5,31.9047619042857,4,15
"167","LCOR-473",31.26666667,28.36666667,39,44.63333333,35.8,24.5,31.9,33.6380952385714,5,15
"168","LCOR-525",33.16666667,25.86666667,30.3,43.9,33.4,24.7,29.9,31.6047619057143,6,15
"169","LCOR-437",35.83333333,27.8,34.7,40.9,36.1,28.8,30.9,33.5761904757143,7,15
"170","LCOR-550",33.7,29.63333333,40.56666667,44.33333333,28.7,27.1,23.6,32.5190476185714,8,15
"171","LCOR-307",31.1,34.23333333,39.63333333,39.9,29.2,30.7,29.6,33.48095238,9,15
"172","LCOR-449",33.83333333,34.5,39.53333333,41.1,28.3,26.5,29.2,33.28095238,10,15
"173","LCOR-507",29.8,26.36666667,37.8,40.03333333,27.1,22.1,26.4,29.9428571428571,11,15
"174","LCOR-154",37.2,29.73333333,35.96666667,43.83333333,26.3,30,31.3,33.4761904757143,12,15
"175","LCOR-562",32.5,30.76666667,33.76666667,43.76666667,28.1,25.2,22,30.8714285728571,13,15
"177","LCOR-393",29.76666667,32.33333333,41.36666667,45.46666667,30.7,24,21.4,32.1476190485714,15,15
"179","LCOR-247",27.36666667,30.86666667,35.13333333,43.4,29.2,24.9,23,30.5523809528571,2,16
"180","LCOR-611",34.16666667,31.4,43.6,42.66666667,27.6,28.8,29.3,33.9333333342857,3,16
"182","LCOR-528",26.73333333,23.33333333,44.16666667,43.5,30.1,19.2,23.9,30.1333333328571,5,16
"183","LCOR-072",32.66666667,25.66666667,35,38.23333333,35.3,16.7,30.2,30.5380952385714,6,16
"184","LCOR-610",34.93333333,27.73333333,37.16666667,41.66666667,34.6,24.1,30.9,33.0142857142857,7,16
"185","LCOR-516",30.8,25.46666667,39.93333333,44.13333333,32.5,22.3,19.4,30.6476190471429,8,16
"186","LCOR-280",32.76666667,28,44.26666667,42.63333333,27.3,18.7,23,30.9523809528571,9,16
"187","LCOR-033",27.73333333,31.13333333,43.16666667,43.7,24.5,27.3,27.4,32.1333333328571,10,16
