row,column,ID,mass1,mass2,mass3,mass_avg,area1,area2,area3,area_avg,SLA,LMA,
6,23,LCOR-106,0.13,0.17,0.12,0.14,13.22,17.79,12.55,14.52,103.7142857,0.009641873,
15,28,LCOR-083,0.13,0.23,0.14,0.166666667,13.76,21.18,13.84,16.26,97.56,0.010250103,
5,3,LCOR-104,0.14,0.13,0.14,0.136666667,12.62,13.12,14.31,13.35,97.68292683,0.010237203,
13,15,LCOR-562,0.15,0.2,0.21,0.186666667,18.85,21.37,22.35,20.85666667,111.7321429,0.008949976,
1,28,LCOR-537,0.15,0.22,0.22,0.196666667,19.97,20.39,14.14,18.16666667,92.37288136,0.010825688,
10,9,LCOR-217,0.16,0.23,0.22,0.203333333,16.49,13.74,11.62,13.95,68.60655738,0.014575866,
5,45,LCOR-304,0.16,0.14,0.16,0.153333333,12.9,10.73,12.45,12.02666667,78.43478261,0.012749446,
13,3,LCOR-294,0.17,0.21,0.23,0.203333333,14.78,19.57,17.5,17.28333333,85,0.011764706,
12,20,LCOR-230,0.17,0.27,0.29,0.243333333,24.59,17.5,24.68,22.25666667,91.46575342,0.010933054,
3,29,LCOR-297,0.17,0.91,0.12,0.4,14.51,8.31,10.93,11.25,28.125,0.035555556,
4,24,LCOR-608,0.18,0.16,0.23,0.19,17.44,21.62,15.09,18.05,95,0.010526316,
3,26,LCOR-605,0.18,0.22,0.22,0.206666667,20.08,17.51,21.61,19.73333333,95.48387097,0.010472973,
6,26,LCOR-278,0.18,0.21,0.09,0.16,17.79,9.32,19.62,15.57666667,97.35416667,0.010271774,
14,8,LCOR-167,0.19,0.23,0.19,0.203333333,17.24,15.76,19.66,17.55333333,86.32786885,0.011583745,
8,16,LCOR-516,0.19,0.17,0.27,0.21,22.85,13.88,15.74,17.49,83.28571429,0.012006861,
5,19,LCOR-491,0.19,0.24,0.12,0.183333333,14.56,10.44,19.17,14.72333333,80.30909091,0.01245189,
3,45,LCOR-316,0.193,0.34,0.17,0.234333333,23.55,14.07,13.19,16.93666667,72.27596017,0.013835859,
15,16,LCOR-614,0.2,0.16,0.2,0.186666667,15.14,18.64,17.83,17.20333333,92.16071429,0.01085061,
14,4,LCOR-201,0.21,0.22,0.19,0.206666667,15.72,14.91,14.64,15.09,73.01612903,0.013695604,
11,8,LCOR-238,0.21,0.18,0.17,0.186666667,17.18,19.27,13.33,16.59333333,88.89285714,0.011249498,
12,9,LCOR-075,0.21,0.18,0.13,0.173333333,12.74,14.63,10.27,12.54666667,72.38461538,0.01381509,
3,28,LCOR-086,0.21,0.17,0.3,0.226666667,25.51,20,16.68,20.73,91.45588235,0.010934234,
4,46,LCOR-313,0.21,0.3,0.19,0.233333333,15.48,24.32,16.38,18.72666667,80.25714286,0.01245995,
14,14,LCOR-091,0.22,0.26,0.16,0.213333333,25.96,16.62,23.14,21.90666667,102.6875,0.009738284,
5,18,LCOR-085,0.22,0.22,0.17,0.203333333,21.93,21.07,14.93,19.31,94.96721311,0.01052995,
6,22,LCOR-340,0.22,0.24,0.21,0.223333333,15.01,21.28,21.58,19.29,86.37313433,0.011577674,
14,12,LCOR-002,0.23,0.29,0.26,0.26,21.94,19.68,17.13,19.58333333,75.32051282,0.013276596,
15,17,LCOR-271,0.23,0.37,0.33,0.31,32.25,29.4,22.4,28.01666667,90.37634409,0.011064842,
13,9,LCOR-504,0.24,0.31,0.33,0.293333333,19.42,23.98,23.41,22.27,75.92045455,0.013171681,
8,20,LCOR-101,0.26,0.5,0.49,0.416666667,19.12,40.02,35.54,31.56,75.744,0.013202366,
15,3,LCOR-213,0.27,0.34,0.24,0.283333333,24.18,21.74,17.86,21.26,75.03529412,0.013327062,
10,21,LCOR-518,0.27,0.3,0.17,0.246666667,17.17,21.67,16.56,18.46666667,74.86486486,0.013357401,
5,22,LCOR-209,0.27,0.18,0.13,0.193333333,18.63,23.18,13.32,18.37666667,95.05172414,0.010520588,
14,24,LCOR-309,0.28,0.23,0.27,0.26,20.79,24.1,28.45,24.44666667,94.02564103,0.010635397,
2,5,LCOR-344,0.29,0.27,0.34,0.3,27.2,23,22.75,24.31666667,81.05555556,0.012337217,
13,11,LCOR-289,0.29,0.25,0.22,0.253333333,21.27,19.67,25.31,22.08333333,87.17105263,0.011471698,
2,46,LCOR-112,0.29,0.2,0.35,0.28,16.33,28.59,24.82,23.24666667,83.02380952,0.012044738,
11,47,LCOR-223,0.29,0.68,0.31,0.426666667,22.6,22.52,51.25,32.12333333,75.2890625,0.013282142,
15,8,LCOR-274,0.3,0.24,0.12,0.22,10.31,19.15,23.54,17.66666667,80.3030303,0.01245283,
13,21,LCOR-495,0.3,0.18,0.2,0.226666667,27.84,18.62,17.36,21.27333333,93.85294118,0.010654967,
4,47,LCOR-232,0.31,0.55,0.7,0.52,54.91,46.35,27.64,42.96666667,82.62820513,0.012102405,
5,23,LCOR-319,0.32,0.44,0.36,0.373333333,38.35,30.89,32.58,33.94,90.91071429,0.010999804,
4,45,LCOR-100,0.32,0.48,0.5,0.433333333,39.99,37.36,23.5,33.61666667,77.57692308,0.012890431,
5,24,LCOR-229,0.34,0.63,0.35,0.44,26.74,28.03,48.56,34.44333333,78.28030303,0.012774606,
7,46,LCOR-492,0.34,0.33,0.36,0.343333333,28.43,25.92,26.8,27.05,78.78640777,0.012692545,
8,24,LCOR-348,0.348,0.59,0.54,0.492666667,36.07,48.23,39.97,41.42333333,84.07983762,0.011893458,
3,3,LCOR-064,0.35,0.33,0.34,0.34,25.16,25.47,26.43,25.68666667,75.54901961,0.013236439,
8,25,LCOR-199,0.35,0.51,0.46,0.44,26.7,36.21,30.1,31.00333333,70.46212121,0.014192022,
13,46,LCOR-102,0.36,0.21,0.29,0.286666667,85.41,77.83,77.57,80.27,280.0116279,0.00357128,
8,49,LCOR-578,0.36,0.45,0.71,0.506666667,27.04,52.49,32.52,37.35,73.71710526,0.013565373,
9,5,LCOR-346,0.37,0.33,0.28,0.326666667,28.61,24.67,27.17,26.81666667,82.09183673,0.012181479,
15,10,LCOR-203,0.37,0.49,0.32,0.393333333,27.9,35.67,24.46,29.34333333,74.60169492,0.013404521,
12,18,LCOR-243,0.37,0.58,0.42,0.456666667,29.89,42.06,33.79,35.24666667,77.18248175,0.012956308,
