row,column,ID,DBH,Height,event,construct,Comments,
5,50,LCOR-208,17.5,8.55,CT717 3,CT717,,
6,50,LCOR-457,18,8.35,LC-102 2H,LC102,,
7,50,LCOR-440,15,7.7,LC-102 1,LC102,,
8,50,LCOR-501,17,8.65,CT717 3,CT717,,
9,50,LCOR-118,18.5,8.5,CT717 1,CT717,,
10,50,LCOR-262,16,7.25,LC-102 4B,LC102,,
11,50,LCOR-172,22,10.3,LC-102 1C,LC102,,
12,50,LCOR-081,16,6.75,LC-102 13-15E,LC102,,
13,50,LCOR-210,18,8.55,CT717 3,CT717,,
14,50,LCOR-417,15,7.35,LC-102 8-9D,LC102,,
15,50,LCOR-390,18.5,8.95,LC-102 7,LC102,,
16,50,LCOR-1196,,,NA,wt,,
1,51,LCOR-1019,,,NA,wt,,
2,51,LCOR-1256,14.5,6.6,NA,wt,,
3,51,LCOR-1167,14,6.3,NA,wt,,
4,51,LCOR-219,15,7.3,LC-102 2H,LC102,,
5,51,LCOR-532,25,11.2,LC-102 5,LC102,,
6,51,LCOR-431,17,8.1,LC-102 4B,LC102,,
7,51,LCOR-479,25,11.65,LC-102 1C,LC102,,
8,51,LCOR-1030,,,NA,wt,,
9,51,LCOR-108,21,9.3,LC-102 16-20,LC102,,
10,51,LCOR-312,22,7.7,LC-102 16-20,LC102,,
11,51,LCOR-225,18,7.7,LC-102 4A,LC102,,
12,51,LCOR-329,18.5,8.9,CT717 1,CT717,,
13,51,LCOR-478,13,6.45,LC-102 1C,LC102,,
14,51,LCOR-567,16,8.9,LC-102 5C,LC102,,
15,51,LCOR-413,15,7.9,LC-102 8-9D,LC102,,
16,51,LCOR-1205,,,NA,wt,,
1,52,LCOR-1041,,,NA,wt,,
2,52,LCOR-1218,15,6.85,NA,wt,,
3,52,LCOR-389,16,7.3,LC-102 7,LC102,,
4,52,LCOR-246,16.5,8.2,LC-102 5A,LC102,,
5,52,LCOR-1050,15,6.25,NA,wt,,
6,52,LCOR-430,18.5,9.2,LC-102 4B,LC102,,
7,52,LCOR-465,16.5,8.4,LC-102 13-15B,LC102,,
8,52,LCOR-1117,12,5.3,NA,wt,,
9,52,LCOR-183,16,7.5,LC-102 13-15B,LC102,,
10,52,LCOR-1096,,,NA,wt,,
11,52,LCOR-317,10.5,5.25,LC-102 16-20,LC102,,
12,52,LCOR-215,19.5,9.2,LC-102 2H,LC102,,
13,52,LCOR-187,22,10.5,LC-102 13-15B,LC102,,
14,52,LCOR-1220,,,NA,wt,,
15,52,LCOR-576,16,7.75,LC-102 5A,LC102,,
16,52,LCOR-1243,,,NA,wt,,
1,53,LCOR-1065,,,NA,wt,,
2,53,LCOR-1230,10,4.85,NA,wt,,
3,53,LCOR-288,22,9.45,LC-102 8-9D,LC102,,
4,53,LCOR-407,15,6.8,LC-102 8-9D,LC102,,
5,53,LCOR-580,14.5,7.35,LC-102 5A,LC102,,
