"","ID","Csetpoint","E","A","Ci","Qin","gsw","VPDlead","Fs","Fm_prime","PhiPS2","PhiCO2","ETR","Tleaf","sample_date.x","event_short","construct","construct2","block","sample_date.y","tier"
"81","LCOR-101",800,0.001583422,24.00302148,411.5061666,1499.978065,0.104806362,1.521429712,759.0411538,1124.62,0.325068775,0.020033677,204.9871743,27.39996129,"July20","16-20","Escape","control","large","July20","control"
"82","LCOR-101",1000,0.001433214,27.17573286,524.9958995,1499.999677,0.096892641,1.486804933,783.9195,1171.8,0.331012545,0.022549003,208.7382407,27.51124839,"July20","16-20","Escape","control","large","July20","control"
"83","LCOR-101",1200,0.001305168,29.18245297,630.546125,1500.010333,0.086705525,1.510216209,786.2584615,1162.2,0.323474048,0.024139937,203.9858805,27.55180333,"July20","16-20","Escape","control","large","July20","control"
"84","LCOR-101",1500,0.001276987,29.72301632,899.0946077,1500.009667,0.084446217,1.516688783,768.3231154,1090.93,0.29571731,0.024568556,186.4820946,27.51382333,"July20","16-20","Escape","control","large","July20","control"
"85","LCOR-101",2000,0.001116082,29.11654722,1325.438541,1499.988333,0.074496633,1.499896991,739.5622692,992.804,0.255077267,0.024088033,160.8518533,27.46056,"July20","16-20","Escape","control","large","July20","control"
"86","LCOR-155",100,0.00290358966666667,-0.638369922666667,54.8850115633333,1500.00876333333,0.199746019666667,1.48627596233333,669.757410233333,812.316,0.175211796333333,0.00149199133333333,110.49023413,27.9938676,"Jun14","5A","LC-102","transgenic","small","Jun14","top"
"87","LCOR-155",200,0.002427829,6.371503325,133.7294685,1499.990323,0.16439752,1.500716699,669.85388,869.643,0.229736938,0.007050103,144.8724567,28.04625161,"Jun14","5A","LC-102","transgenic","small","Jun14","top"
"88","LCOR-155",300,0.002245247,10.58608974,183.0022238,1499.991,0.153869802,1.480453739,675.4368462,902.051,0.251221,0.010391817,158.420412,27.86169667,"Jun14","5A","LC-102","transgenic","small","Jun14","top"
"89","LCOR-155",400,0.003001264,17.39531657,250.759395433333,1500.01160933333,0.206701894666667,1.48967952233333,666.072574866667,924.217333333333,0.279320131666667,0.0157905853333333,176.142238133333,27.97580362,"Jun14","5A","LC-102","transgenic","small","Jun14","top"
"90","LCOR-155",600,0.003059841,26.04050546,383.9842706,1500.011,0.212269612,1.477733047,687.2675385,1003.48,0.315115858,0.022645218,198.7152886,27.99132,"Jun14","5A","LC-102","transgenic","small","Jun14","top"
"91","LCOR-155",800,0.002892113,29.37491511,535.7346019,1499.990968,0.196395704,1.505289585,701.1873462,1025.47,0.316228319,0.02528935,199.4141668,28.04482581,"Jun14","5A","LC-102","transgenic","small","Jun14","top"
"92","LCOR-155",1000,0.002607981,31.03693172,695.4886824,1499.99,0.181026064,1.468559217,700.2871538,1016.42,0.311025802,0.026607169,196.1333271,27.9508871,"Jun14","5A","LC-102","transgenic","small","Jun14","top"
"93","LCOR-155",1200,0.002605772,31.43121114,879.6136692,1500.019,0.176300383,1.505389339,694.22872,996.299,0.303192395,0.026919285,191.1971599,28.01822,"Jun14","5A","LC-102","transgenic","small","Jun14","top"
"94","LCOR-155",1500,0.002540246,31.46045213,1169.235701,1499.950667,0.174282241,1.483901398,693.79212,974.921,0.288360677,0.026943681,181.8359017,27.9574,"Jun14","5A","LC-102","transgenic","small","Jun14","top"
"95","LCOR-155",2000,0.002621333,30.58328401,1670.613296,1499.994194,0.177676243,1.503000358,697.07948,953.938,0.269261231,0.026247408,169.7969556,27.97642903,"Jun14","5A","LC-102","transgenic","small","Jun14","top"
"96","LCOR-164",0,0.002921521,-1.558394501,37.992656395,1500.0370965,0.203744297,1.470451334,614.16082,701.9345,0.1254374875,0.000316338,79.103553675,26.67833871,"Jun22","5A","LC-102","transgenic","large","Jun22","top"
"97","LCOR-164",100,0.002924389,-0.0914369005,64.2088082375,1499.9953415,0.20280552025,1.48050163675,613.86360925,706.55925,0.13140446675,0.0014794645,82.86431809,26.5748913725,"Jun22","5A","LC-102","transgenic","large","Jun22","top"
"98","LCOR-164",200,0.0027649835,5.431845669,149.7622207,1499.9982905,0.1888499975,1.4942111335,610.8400869,734.5065,0.168746239,0.0058588355,106.412232255,26.601340645,"Jun22","5A","LC-102","transgenic","large","Jun22","top"
"99","LCOR-164",300,0.0026355855,9.278177327,209.60086835,1500.007,0.178943701,1.5011795625,613.13664,758.9885,0.192444837,0.008908501,121.3573606,26.654891665,"Jun22","5A","LC-102","transgenic","large","Jun22","top"
"100","LCOR-164",400,0.00293292833333333,14.0769960266667,273.056356416667,1499.98978133333,0.200812642833333,1.49819355983333,604.65356795,762.252833333333,0.2065749795,0.0127135613333333,130.26640155,26.61219145,"Jun22","5A","LC-102","transgenic","large","Jun22","top"
"101","LCOR-164",600,0.003116618,19.764898645,427.8031504,1499.9802955,0.215056011,1.4854157675,611.33208,801.832,0.2364902195,0.017223571,149.13011105,26.60236366,"Jun22","5A","LC-102","transgenic","large","Jun22","top"
"102","LCOR-164",800,0.0030648015,21.68696096,600.3006494,1500.005,0.2116156205,1.4873774915,624.84254,812.335,0.229368247,0.01874725,144.6416064,26.66764667,"Jun22","5A","LC-102","transgenic","large","Jun22","top"
"103","LCOR-164",1000,0.0030709185,22.07333995,788.577793,1499.9862905,0.20882732,1.5096183425,625.9208169,809.2285,0.225079824,0.0190538985,141.9347906,26.62423618,"Jun22","5A","LC-102","transgenic","large","Jun22","top"
"104","LCOR-164",1200,0.0029919175,22.265130195,979.6856142,1500.012285,0.204219317,1.4992648955,622.8577531,798.772,0.2188243075,0.01920554,137.99356645,26.64269226,"Jun22","5A","LC-102","transgenic","large","Jun22","top"
"105","LCOR-164",1500,0.002855467,22.885184685,1256.3892195,1499.991011,0.195258052,1.5002823065,620.08054615,790.932,0.2146377915,0.019697545,135.35049995,26.644159195,"Jun22","5A","LC-102","transgenic","large","Jun22","top"
"106","LCOR-164",2000,0.002771007,22.585631385,1742.983822,1499.9983495,0.1888105565,1.4988764425,619.11834,780.64,0.205957954,0.0194598785,129.8782865,26.60296387,"Jun22","5A","LC-102","transgenic","large","Jun22","top"
"107","LCOR-165",0,0.000936447,-0.584744487,45.38452088,1500.0048385,0.0715964955,1.328653596,495.38815385,517.415,0.042554411,0.0004946125,26.835163675,25.941706455,"Aug29","5A","LC-102","transgenic","large","Aug29","top"
"108","LCOR-165",100,0.000435353,0.416427968,76.61376492,1499.98,0.031956678,1.349767027,502.22884,528.32,0.049385145,0.001288457,31.14213192,26.21663226,"Aug29","5A","LC-102","transgenic","large","Aug29","top"
"109","LCOR-165",200,0.000932361,1.662097921,157.5100739,1499.983871,0.072704418,1.280877341,512.9752692,543.86,0.056788017,0.002276142,35.81044619,25.83737419,"Aug29","5A","LC-102","transgenic","large","Aug29","top"
"110","LCOR-165",300,0.000377122,2.942778202,124.7737918,1499.999677,0.028216513,1.323277926,525.70952,561.92,0.064440632,0.003291555,40.63660591,26.16039677,"Aug29","5A","LC-102","transgenic","large","Aug29","top"
"111","LCOR-165",400,0.000465119,4.22131347766667,249.4211803638,1500.033448,0.0362132123333333,1.30350442466667,511.2988359,548.736666666667,0.068129289,0.00430519533333333,42.9636545933333,25.9013996766667,"Aug29","5A","LC-102","transgenic","large","Aug29","top"
"112","LCOR-165",600,0.000570533,6.585312929,341.9007196,1499.947419,0.043948385,1.289477499,496.59192,540.08,0.080521552,0.006179896,50.77554984,25.91178065,"Aug29","5A","LC-102","transgenic","large","Aug29","top"
"113","LCOR-165",800,0.000585411,8.28150331,478.4312372,1499.966452,0.044568003,1.304879001,507.2552,556.14,0.087900169,0.007524738,55.42908695,25.94547097,"Aug29","5A","LC-102","transgenic","large","Aug29","top"
"114","LCOR-165",1000,0.000643874,9.591878731,650.7996812,1499.929032,0.048146651,1.328979469,517.9123462,571.88,0.094368843,0.008563957,59.50669271,26.14882581,"Aug29","5A","LC-102","transgenic","large","Aug29","top"
"115","LCOR-165",1200,0.000652085,10.54569356,833.2097663,1499.99129,0.050842286,1.275245408,524.74256,580.25,0.095661249,0.009319874,60.3241672,25.98510968,"Aug29","5A","LC-102","transgenic","large","Aug29","top"
"116","LCOR-165",1500,0.000669054,10.98189937,1110.724386,1499.996452,0.05067271,1.313095036,531.7177308,587.68,0.095225751,0.009665708,60.04973084,25.96225484,"Aug29","5A","LC-102","transgenic","large","Aug29","top"
"117","LCOR-165",2000,0.000424959,11.64808823,1352.976855,1499.984516,0.031318218,1.34434161,535.1192692,590.58,0.093908921,0.010194001,59.21887628,26.12752258,"Aug29","5A","LC-102","transgenic","large","Aug29","top"
"118","LCOR-199",100,0.001986868,-0.684099284666667,57.2899953366667,1499.99461266667,0.134671991333333,1.48048865633333,641.354594866667,766.447333333333,0.163039838666667,0.000853228,102.813560056667,27.9645142666667,"Jun22","CT3","Control","control","large","Jun22","WT"
"119","LCOR-199",200,0.001708151,4.663728246,131.9413608,1499.996,0.115854848,1.474466209,636.3796,798.269,0.20280056,0.005093487,127.8867904,27.84974667,"Jun22","CT3","Control","control","large","Jun22","WT"
