Name,,,,,,
Date,,,,,,
dbh in mm @ 6in,,,,,,
height in feet (incremented in tenths),,,,,,
,,,,,,
row,column,ID,DBH,Height,Comments,Updated Growth 5/9
4,27,LCOR-399,27.39,12.87,,
5,27,LCOR-323,15.36,7.08,,
6,27,LCOR-061,15.62,7.91,,
7,27,LCOR-197,19.18,9.78,,
8,27,LCOR-373,20.51,9.87,,
9,27,LCOR-206,18.3,10.02,,
10,27,LCOR-322,26.62,11.45,,
11,27,LCOR-048,22.84,10.91,,
12,27,LCOR-175,28.84,12.78,,
13,27,LCOR-295,20.02,10.97,,
14,27,LCOR-388,22.67,11.46,,
15,27,LCOR-429,23.64,11.73,,
16,27,LCOR-1016,,,,
1,28,LCOR-537,23.46,10.44,,
2,28,LCOR-276,16,7.81,,
3,28,LCOR-086,14.91,7.55,,
4,28,LCOR-425,24.15,11.45,,
5,28,LCOR-596,21.22,9.82,,
6,28,LCOR-227,21.73,10.67,,
7,28,LCOR-335,22.36,10.58,,
8,28,LCOR-128,24.5,12.05,,
9,28,LCOR-551,24.92,11.85,,
10,28,LCOR-337,22.09,11.35,,
11,28,LCOR-096,23.25,10.52,,
12,28,LCOR-405,27.46,13.17,,
13,28,LCOR-559,23.76,12.18,,
14,28,LCOR-1018,,,,
15,28,LCOR-083,20.64,10.67,,
16,28,LCOR-1020,,,,
1,29,LCOR-024,21.15,8.72,,
2,29,LCOR-557,23.6,11.32,,
3,29,LCOR-297,15.61,7.09,,
4,29,LCOR-381,10.94,5.18,,
5,29,LCOR-382,14.94,7.66,,
6,29,LCOR-185,22.15,10.49,,
7,29,LCOR-044,21.72,10.35,,
8,29,LCOR-600,19.54,8.79,,
9,29,LCOR-127,23.6,11.71,,
10,29,LCOR-1048,,,,
11,29,LCOR-1054,,,,
12,29,LCOR-1049,,,,
13,29,LCOR-1103,,,,
14,29,LCOR-1122,,,,
15,29,LCOR-1124,,,,
16,29,LCOR-1134,,,,
1,30,LCOR-424,17.97,7.32,,
2,30,LCOR-1025,,,,
3,30,LCOR-583,16.15,7.81,,
4,30,LCOR-093,16.81,7.84,,
5,30,LCOR-281,16.19,7.61,,
6,30,LCOR-1073,,,,
7,30,LCOR-1082,,,,
8,30,LCOR-1095,,,,
9,30,LCOR-1244,,,,
10,30,LCOR-1052,,,,
11,30,LCOR-1202,,,,
12,30,LCOR-1210,,,,
13,30,LCOR-1154,,,,
14,30,LCOR-1099,,,,
15,30,LCOR-1140,,,,
16,30,LCOR-1161,,,,
1,44,LCOR-1028,,,,
2,44,LCOR-1169,,,,
3,44,LCOR-1245,,,,
4,44,LCOR-1014,,,,
5,44,LCOR-1034,,,,
6,44,LCOR-1118,,,,
7,44,LCOR-1129,,,,
8,44,LCOR-1136,,,,
9,44,LCOR-1151,,,,
10,44,LCOR-1159,,,,
11,44,LCOR-1160,,,,
12,44,LCOR-1193,,,,
13,44,LCOR-1249,,,,
14,44,LCOR-1261,,,,
15,44,LCOR-1237,,,,
16,44,LCOR-1135,,,,
1,45,LCOR-1039,,,,
2,45,LCOR-599,9.92,5.21,,
3,45,LCOR-316,16.17,5.89,,
4,45,LCOR-100,15.92,7.11,,
5,45,LCOR-304,8.92,4.12,,
6,45,LCOR-494,13,6.02,,
7,45,LCOR-439,15.49,7.57,,
8,45,LCOR-378,19.71,9.38,,
9,45,LCOR-595,16.11,7.71,,
10,45,LCOR-1239,,9.23,,
11,45,LCOR-371,22,10.56,,
12,45,LCOR-234,25.32,11.12,,
13,45,LCOR-461,25.06,11.01,,
14,45,LCOR-519,22.35,11.21,,
15,45,LCOR-1226,,,,
16,45,LCOR-1027,,,,
1,46,LCOR-1042,,,,
2,46,LCOR-112,12.34,5.02,,
3,46,LCOR-190,20.73,9.29,,
4,46,LCOR-313,12.24,5.21,,
5,46,LCOR-446,17.58,8.07,,
6,46,LCOR-032,35.3,12.45,,
7,46,LCOR-492,13.24,6.57,,
